,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,194,4M0121093,BRACKET,FE-84,FRONTEND,20,,,,,,,,,,Counted,,,
,195,4M0121095,CLAMP,FE-61,FRONTEND,123,,,,,,,,,,Counted,,,
,196,4M0121268A,BUFFER,FE-68,FRONTEND,143,,,,,,,,,,Counted,,,
,197,4M0121275A,BEARING,FE-55,FRONTEND,68,,,,,,,,,,Counted,,,
,198,4M0121283DT,AIR DEFLECTOR,FE-63,FRONTEND,12,36,,,,,,,,,Counted,,,
,199,4M0121284DT,AIR DEFLECTOR,FE-64,FRONTEND,39,,,,,,,,,,Counted,,,
,200,4M0121299,CAP,FE-88,FRONTEND,36,,,,,,,,,,Counted,,,
,201,4M0145551,COVER,FE-79,FRONTEND,39,,,,,,,,,,Counted,,,
,202,4M0145708H,PRESSURE HOSE,FE-73,FRONTEND,18,,,,,,,,,,Counted,,,
,203,4M0145944A,PRESSURE HOSE,FE-72,FRONTEND,60,,,,,,,,,,Counted,,,
,204,4M0801939,BRACKET,FE-46,FRONTEND,33,,,,,,,,,,Counted,,,
,205,4M0801940,BRACKET,FE-50,FRONTEND,31,,,,,,,,,,Counted,,,
,206,4M0804051,REINFORCEMENT,FE-48,FRONTEND,100,,,,,,,,,,Counted,,,
,207,4M0804285,BRACKET,FE-47,FRONTEND,34,,,,,,,,,,Counted,,,
,208,4M0804286,BRACKET,FE-51,FRONTEND,67,,,,,,,,,,Counted,,,
,209,4M0820536A,BRACKET,FE-98,FRONTEND,95,,,,,,,,,,Counted,,,
,210,4M0823509C,HOOD LATCH,FE-93,FRONTEND,31,,,,,,,,,,Counted,,,
,211,4M0823529E,RELEASE MECHANISM,FE-90,FRONTEND,1,11,,,,,,,,,Counted,,,
,212,4M0857551S 2O9,SUN VISOR,MH-14,HEADLINER,4,8,,,,,,,,,Counted,,,
,213,4M0857552K 2O9,SUN VISOR,MH-16,HEADLINER,2,8,5,,,,,,,,Counted,,,
,214,4M0861303A 4PK,TRIM,MH-7,HEADLINER,84,,,,,,,,,,Counted,,,
,215,4M0861304A 4PK,TRIM,MH-9,HEADLINER,70,,,,,,,,,,Counted,,,
,216,4M0861305A 4PK,TRIM,MH-6,HEADLINER,83,,,,,,,,,,Counted,,,
,217,4M0861306A 4PK,TRIM,MH-8,HEADLINER,86,,,,,,,,,,Counted,,,
,218,4M0867899A,MOUNTING PART,MH-11,HEADLINER,46,,,,,,,,,,Counted,,,
,219,4M0867901A,MOUNTING PART,MH-15,HEADLINER,43,,,,,,,,,,Counted,,,
